Business_ID,Name,Address,Coordinates,Number_of_Reviews,Rating,Zip_Code,Cuisine
DrKkSvu9h2hcQw,Chow House,181 Bleecker St,{40.72915:-74.00072},318,4.5,10012,chinese
wfhMIiMh2A2psCGONOVSlg,Han Dynasty,90 3rd Ave,{40.732072:-73.988074},1186,4.0,10003,chinese
0k678lCWQyReNi0lARlOmw,China Blue,135 Watts St,{40.724038:-74.009958},669,4.0,10013,chinese
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1 Fast Food,79 Chrystie St,{40.71735:-73.99457},1324,4.5,10002,chinese
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,9 Pell St,{40.7146691442891:-73.9977602206654},5944,4.0,10013,chinese
i6RhqnCJ_oUfTu5LikGXUg,Dun Huang - East Village,300 E 12th St,{40.73081:-73.98568},245,4.5,10003,chinese
xq0cX_DgxiJMXwhmEl9kUA,Café China,13 E 37th St,{40.7499225208569:-73.9819464127197},1555,4.0,10016,chinese
_XLLSXPIjgoZQtwU3RCcQA,Hunan Delight,752 Union St,{40.6755282563532:-73.9780712127686},286,4.0,11215,chinese
vZgJyMZlpSSS_Y-duxd4_A,Kings Co Imperial,20 Skillman Ave,{40.71512:-73.95097},271,4.0,11211,chinese
ZCAkVl5SeCDeBWg_xjfYeg,Clay Pot - East Village,58 St Mark's Pl,{40.7279880270274:-73.9865907985248},288,4.5,10003,chinese
MaZWYgvu08NLQVRcDGGvqQ,Zhen Wei Fang,207 Bowery,{40.72128:-73.99343},154,4.0,10002,chinese
VbFYau70iG_s6UNFwYtGVQ,Xu's Public House,15 Union Square W,{40.73589:-73.9917},44,4.5,10003,chinese
lynQoI3w_pzYfHGeuUU-Qg,Shu Jiao Fu Zhou Cuisine Restaurant,118 Eldridge St,{40.7184290357839:-73.9916928979573},769,4.5,10002,chinese
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,191 Grand St,{40.71442:-73.960441},290,4.0,11211,chinese
SVJNB9LqI13jtVyKMZVqeg,Uncle Ted's Modern Chinese Cuisine,163 Bleecker St,{40.72882:-73.999961},449,3.5,10012,chinese
scTDvJ2M2jDbb1ntVeIyxA,Hao Noodle and Tea By Madam Zhu's Kitchen,401 6th Ave,{40.7334863190479:-73.9998929006093},663,4.0,10014,chinese
qHi_FA4zSEkFshXQ4Chc9A,Jiang Diner,309 E 5th St,{40.72665:-73.98838},78,4.0,10003,chinese
xVduej7-JiPrZzsFXIkIDw,Lazy Siu's,742 Driggs Ave,{40.71261:-73.96077},19,5.0,11211,chinese
qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,42 E Broadway,{40.7137:-73.99598},214,4.0,10002,chinese
2UxAkvKkkWNwqZi9H0OzWw,Dian Kitchen,435 E 9th St,{40.72772:-73.98321},179,5.0,10009,chinese
pCfGgX0WxGASGM4-Yhr2Pw,Hao Noodle Chelsea,343 W 14th St,{40.7406999:-74.00436},292,4.5,10014,chinese
LpVbI-E9C-CSp7WhU5h2Iw,Fishmarket Restaurant,111 South St,{40.70717:-74.00192},535,4.5,10038,chinese
bnDfFdiCcPzhuNWUJORvLQ,Noodle Village,13 Mott St,{40.714167:-73.998803},1026,4.0,10013,chinese
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,360 W 42nd Street,{40.7582902125633:-73.9925113993899},429,4.0,10036,chinese
xH7mEjh4Rn6KdHjXYNoOjw,Yaso Tangbao,148 Lawrence St,{40.6918206366101:-73.9863992364001},741,3.5,11201,chinese
rPTX2J5KGDkN1QhPD-QOvg,Xifu Food,318 Livingston St,{40.6880326:-73.9819963},117,4.5,11217,chinese
BkXb82Y2OIsQ5RpNNQOYmQ,China Express,192 Union Ave,{40.7061859:-73.9501435},93,4.0,11211,chinese
qrncvjkiKN5Z-JC06ygy6A,Hutong,731 Lexington Ave,{40.761551:-73.967443},123,4.0,10022,chinese
R26zweQ8-xoZS7iHkXQOvw,Shanghai 21,21 Mott St,{40.7144199:-73.99889},1591,4.0,10013,chinese
oowNI_aUmGEFa_VW8BFgRg,Tri Dim Shanghai,1378 3rd Ave,{40.77395:-73.95793},337,4.0,10075,chinese
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,{40.77544:-73.95686},321,4.0,10028,chinese
Lbs8QBRN1U7IYBo5Mcv-RQ,88 Lan Zhou Handmade Noodle,40 Bowery St,{40.7155:-73.99675},1750,4.0,10013,chinese
QQfwlKFD6X8-ZXf7gfQZqg,Hardee Chinese- American,351 Myrtle Ave,{40.6933441162109:-73.9722290039062},18,4.5,11205,chinese
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,108 W 14th St,{40.7377213477598:-73.9974148512518},330,3.5,10011,chinese
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,122 1st Ave,{40.72713:-73.98542},587,4.0,10009,chinese
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,1 Doyers St,{40.7142:-73.99787},1558,4.0,10013,chinese
lJsNGj70bmuBrcAubvfTAQ,First Wok,155 York St,{40.70154:-73.98456},4,5.0,11201,chinese
sQw7aEos_0FmO0UFtrJokg,Clay Pot - West Village,270 Bleeker St,{40.73138:-74.00319},42,4.5,10014,chinese
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,{40.76015:-73.9893699},1128,4.0,10036,chinese
xCHApgtkLpEyh0lz-uhZvg,Szechuan Garden,239 W 105th St,{40.8003719688892:-73.9676491308602},276,4.0,10025,chinese
V9cBgn2RFLurwg6lwuLH7w,The Wei,30 Dekalb Ave,{40.68983:-73.98171},219,4.0,11201,chinese
A_fZL0ir_actclrL-ePTOw,JJ Kitchen,475 B Myrtle Ave,{40.69354:-73.96627},15,4.5,11205,chinese
jc7lVTvmYMIK5RNpENtS6w,Szechuan Mountain House,23 St Marks Pl,{40.72911:-73.98858},286,4.0,10003,chinese
U2aUFZARLeSMf4RQIxjuTw,Lucky House Kitchen,343 Lewis Ave,{40.6838402152061:-73.9351565390825},91,4.5,11233,chinese
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,{40.73297:-73.98829},185,4.5,10003,chinese
Xf6e3HaP0AgMBxY7dEDkOA,99 Favor Taste,285 Grand St,{40.7176199:-73.99249},1740,4.0,10002,chinese
3oB2_2vpeIyxJt1GvlcZBA,Baodega,7 W 20th St,{40.74014:-73.99178},63,4.0,10011,chinese
WIj12zDqIbBucW1hXYhrew,King's Kitchen,92 E Broadway,{40.71399:-73.99367},246,4.0,10002,chinese
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,25-25 Broadway,{40.7631186084319:-73.9275405041124},376,4.0,11106,chinese
8ig0yf0003DAp4YOGTlbVg,Spicy Village,68 Forsyth St,{40.71695:-73.99327},625,4.0,10002,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,152 2nd Ave,{40.7293403:-73.9866071},159,4.0,10003,chinese
ynB8T3htx8s5V0YV8gVPGA,21 Shanghai House,21 Division St,{40.7140138244835:-73.9964454932541},420,4.0,10002,chinese
ikx8R8u2lmxhpLGByCjgPw,House Special 甘來飯店,171 Hester St,{40.71785:-73.9967999},46,4.0,10013,chinese
